DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1;Crm Cd 2;Crm Cd 3;Crm Cd 4;LOCATION;Cross Street;LAT;LON
211507896;04/11/2021 0:00;11/07/2020 0:00;845;15;N Hollywood;1502;2;354;THEFT OF IDENTITY;377;31;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;7800    BEEMAN                       AV;;342.124;-1.184.092
201516622;10/21/2020 12:00:00 AM;10/18/2020 12:00:00 AM;1845;15;N Hollywood;1521;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0416 0334 2004 1822 1414 0305 0319 0400;32;M;H;102;SIDEWALK;200;KNIFE WITH BLADE 6INCHES OR LESS;IC;Invest Cont;230;;;;ATOLL                        AV;N  GAULT;341.993;-1.184.203
240913563;12/10/2024 0:00;10/30/2020 12:00:00 AM;1240;9;Van Nuys;933;2;354;THEFT OF IDENTITY;377;30;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;14600    SYLVAN                       ST;;341.847;-1.184.509
210704711;12/24/2020 12:00:00 AM;12/24/2020 12:00:00 AM;1310;7;Wilshire;782;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);344;47;F;A;101;STREET;;;IC;Invest Cont;331;;;;6000    COMEY                        AV;;340.339;-1.183.747
201418201;10/03/2020 0:00;09/29/2020 12:00:00 AM;1830;14;Pacific;1454;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);1300 0344 1606 2032;63;M;H;103;ALLEY;;;IC;Invest Cont;420;;;;4700    LA VILLA MARINA;;339.813;-118.435
240412063;12/11/2024 0:00;11/11/2020 0:00;1210;4;Hollenbeck;429;2;354;THEFT OF IDENTITY;100;35;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;5300    CRONUS                       ST;;34.083;-1.181.678
240317069;12/16/2024 12:00:00 AM;04/16/2020 12:00:00 AM;1350;3;Southwest;396;2;354;THEFT OF IDENTITY;0100 0928 1822;21;F;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;900 W  40TH                         PL;;34.01;-118.29
201115217;10/29/2020 12:00:00 AM;07/07/2020 0:00;1400;11;Northeast;1133;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1259 0448 0304 1822 0500 0522;14;F;H;121;YARD (RESIDENTIAL/BUSINESS);500;UNKNOWN WEAPON/OTHER WEAPON;AO;Adult Other;812;860;;;3000    ACRESITE                     ST;;341.107;-1.182.589
241708596;04/20/2024 12:00:00 AM;03/02/2020 0:00;1200;17;Devonshire;1729;2;354;THEFT OF IDENTITY;1501;43;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;17700    SIMONDS                      ST;;342.763;-118.521
242113813;12/18/2024 12:00:00 AM;09/01/2020 0:00;900;21;Topanga;2196;2;354;THEFT OF IDENTITY;930;57;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;20900    MARMORA                      ST;;341.493;-1.185.886
